rank	bigram	count	percent
884	lb	2696	0.004414
885	үф	2694	0.004411
886	дь	2691	0.004406
887	kr	2683	0.004393
888	ej	2672	0.004375
889	io	2668	0.004368
890	ob	2648	0.004335
891	ют	2647	0.004334
892	юп	2645	0.004331
893	эп	2621	0.004291
894	ув	2606	0.004267
895	ud	2603	0.004262
896	яи	2575	0.004216
897	жб	2569	0.004206
898	sм	2537	0.004154
899	rc	2536	0.004152
900	sс	2532	0.004146
901	иү	2524	0.004132
902	nn	2510	0.004110
903	св	2503	0.004098
904	ня	2500	0.004093
905	рф	2498	0.004090
906	yj	2497	0.004088
907	ңм	2477	0.004056
908	уү	2474	0.004051
909	kz	2468	0.004041
910	sи	2464	0.004034
911	бъ	2425	0.003970
912	вk	2416	0.003956
913	сф	2414	0.003952
914	тг	2407	0.003941
915	яө	2405	0.003938
916	шн	2397	0.003925
917	уы	2391	0.003915
918	вч	2365	0.003872
919	pu	2357	0.003859
920	рц	2350	0.003848
921	lm	2331	0.003816
922	yt	2331	0.003816
923	гл	2325	0.003807
924	rz	2320	0.003798
925	ец	2318	0.003795
926	зп	2317	0.003794
927	ңо	2309	0.003780
928	оё	2305	0.003774
929	ню	2303	0.003771
930	яо	2298	0.003762
931	ss	2292	0.003753
932	бн	2288	0.003746
933	iv	2279	0.003731
934	нх	2274	0.003723
935	zd	2267	0.003712
936	чс	2262	0.003704
937	ср	2260	0.003700
938	pz	2251	0.003685
939	sp	2242	0.003671
940	eм	2226	0.003645
941	eс	2196	0.003595
942	ib	2191	0.003587
943	ңш	2188	0.003582
944	чм	2182	0.003573
945	pe	2168	0.003550
946	цт	2157	0.003532
947	sm	2148	0.003517
948	бс	2133	0.003492
949	вы	2131	0.003489
950	tb	2129	0.003486
951	сх	2117	0.003466
952	gн	2088	0.003419
953	kb	2063	0.003378
954	жк	2063	0.003378
955	bl	2048	0.003353
956	ңч	2048	0.003353
957	шэ	2044	0.003347
958	ху	2037	0.003335
959	шр	2033	0.003329
960	хе	2024	0.003314
961	pi	2015	0.003299
962	ou	2009	0.003289
963	jd	1998	0.003271
964	ll	1995	0.003266
965	эш	1995	0.003266
966	ij	1991	0.003260
967	eт	1990	0.003258
968	ёт	1990	0.003258
969	дн	1979	0.003240
970	mp	1970	0.003225
971	сн	1963	0.003214
972	eo	1953	0.003198
973	gr	1947	0.003188
974	ть	1920	0.003144
975	яп	1911	0.003129
976	уt	1910	0.003127
977	эд	1910	0.003127
978	хт	1907	0.003122
979	yo	1906	0.003121
980	tn	1899	0.003109
981	лш	1891	0.003096
982	gn	1886	0.003088
983	тл	1875	0.003070
984	ml	1861	0.003047
985	od	1861	0.003047
986	гб	1858	0.003042
987	eж	1845	0.003021
988	иt	1830	0.002996
989	лз	1829	0.002995
990	rr	1826	0.002990
991	пф	1823	0.002985
992	үu	1799	0.002945
993	яу	1791	0.002932
994	ңө	1783	0.002919
995	mn	1777	0.002909
996	yн	1769	0.002896
997	аc	1756	0.002875
998	oz	1741	0.002850
999	вф	1735	0.002841
1000	ьм	1733	0.002837
1001	нk	1719	0.002814
1002	эф	1708	0.002796
1003	гк	1683	0.002756
1004	аю	1677	0.002746
1005	ii	1670	0.002734
1006	хы	1664	0.002724
1007	pp	1657	0.002713
1008	тз	1643	0.002690
1009	уе	1641	0.002687
1010	sт	1626	0.002662
1011	sп	1619	0.002651
1012	dc	1610	0.002636
1013	вt	1598	0.002616
1014	эж	1583	0.002592
1015	зш	1575	0.002579
1016	jz	1571	0.002572
1017	юц	1569	0.002569
1018	ох	1560	0.002554
1019	hr	1554	0.002544
