rank	trigram	count	percent
796	ияг	13875	0.032904
797	бын	13872	0.032897
798	сай	13830	0.032798
799	мир	13817	0.032767
800	тас	13817	0.032767
801	шыр	13812	0.032755
802	мов	13799	0.032724
803	тто	13776	0.032670
804	гра	13769	0.032653
805	дүр	13759	0.032629
806	өмү	13758	0.032627
807	нст	13751	0.032610
808	үдө	13730	0.032561
809	алк	13720	0.032537
810	мсы	13684	0.032451
811	иал	13660	0.032395
812	аял	13645	0.032359
813	амы	13639	0.032345
814	зат	13562	0.032162
815	ргу	13562	0.032162
816	тип	13560	0.032157
817	рүп	13555	0.032146
818	лаб	13552	0.032138
819	опт	13519	0.032060
820	ебе	13450	0.031897
821	аск	13392	0.031759
822	ник	13358	0.031678
823	еше	13356	0.031674
824	рки	13329	0.031610
825	эрк	13274	0.031479
826	шек	13254	0.031432
827	отт	13251	0.031425
828	атч	13231	0.031377
829	мды	13224	0.031361
830	ргү	13203	0.031311
831	ким	13192	0.031285
832	лут	13190	0.031280
833	рия	13180	0.031256
834	лот	13177	0.031249
835	амс	13151	0.031187
836	нуш	13119	0.031112
837	төл	13064	0.030981
838	йра	13045	0.030936
839	күч	13034	0.030910
840	аки	13002	0.030834
841	себ	13000	0.030829
842	ыпт	12955	0.030723
843	ска	12951	0.030713
844	ест	12933	0.030670
845	был	12913	0.030623
846	мис	12889	0.030566
847	имо	12862	0.030502
848	нба	12862	0.030502
849	шун	12860	0.030497
850	акш	12840	0.030450
851	вар	12829	0.030424
852	нес	12810	0.030379
853	пер	12809	0.030376
854	лыг	12755	0.030248
855	анк	12740	0.030213
856	мер	12725	0.030177
857	өмө	12701	0.030120
858	суз	12695	0.030106
859	луп	12684	0.030080
860	сте	12677	0.030063
861	нчи	12673	0.030054
862	зди	12655	0.030011
863	аат	12645	0.029988
864	үкт	12638	0.029971
865	акк	12632	0.029957
866	кем	12617	0.029921
867	тчы	12603	0.029888
868	уур	12603	0.029888
869	луг	12583	0.029840
870	одо	12541	0.029741
871	ынч	12508	0.029663
872	үүд	12505	0.029655
873	ази	12450	0.029525
874	уус	12438	0.029497
875	уту	12430	0.029478
876	ами	12426	0.029468
877	рим	12421	0.029456
878	ышу	12384	0.029369
879	мүн	12373	0.029342
880	сом	12368	0.029331
881	ако	12357	0.029305
882	ера	12352	0.029293
883	елд	12338	0.029259
884	оно	12276	0.029112
885	үмү	12199	0.028930
886	дүү	12181	0.028887
887	ати	12152	0.028818
888	муш	12145	0.028802
889	нык	12139	0.028788
890	рба	12132	0.028771
891	өөн	12115	0.028731
892	штү	12078	0.028643
893	үйл	11988	0.028429
894	спо	11987	0.028427
895	чим	11981	0.028413
896	ану	11973	0.028394
897	ажи	11955	0.028351
898	ече	11902	0.028225
899	нөт	11895	0.028209
900	чыс	11895	0.028209
901	лүг	11858	0.028121
902	эке	11833	0.028062
903	куя	11795	0.027972
904	има	11781	0.027939
905	ави	11774	0.027922
906	лдө	11761	0.027891
907	кой	11756	0.027879
908	шен	11753	0.027872
909	ажы	11729	0.027815
910	лла	11698	0.027742
911	чет	11698	0.027742
912	кны	11689	0.027720
913	рку	11689	0.027720
914	аку	11668	0.027671
915	өчө	11641	0.027607
916	рыз	11627	0.027573
917	кою	11622	0.027561
918	шар	11614	0.027542
919	рыя	11613	0.027540
920	вид	11577	0.027455
921	кас	11575	0.027450
922	лас	11574	0.027448
923	ырд	11574	0.027448
924	гөө	11572	0.027443
925	нтк	11567	0.027431
926	оод	11550	0.027391
927	мне	11545	0.027379
928	лад	11542	0.027372
929	тос	11541	0.027369
930	лаш	11538	0.027362
931	сыл	11516	0.027310
932	асе	11506	0.027286
933	соо	11500	0.027272
934	бет	11492	0.027253
935	өчү	11488	0.027244
936	ише	11468	0.027196
937	диг	11453	0.027161
938	оол	11436	0.027120
939	тыг	11430	0.027106
940	эмн	11406	0.027049
941	арб	11395	0.027023
942	рен	11395	0.027023
943	тад	11354	0.026926
944	вир	11339	0.026890
945	лог	11287	0.026767
946	сси	11287	0.026767
947	гып	11286	0.026765
948	кчи	11273	0.026734
949	кло	11271	0.026729
950	жик	11253	0.026686
951	рүш	11241	0.026658
952	олл	11228	0.026627
953	түп	11225	0.026620
954	ото	11212	0.026589
955	топ	11184	0.026523
956	рто	11176	0.026504
957	ашу	11172	0.026494
958	део	11164	0.026475
959	еби	11142	0.026423
960	дел	11141	0.026421
961	узу	11118	0.026366
962	эри	11102	0.026328
963	ыял	11093	0.026307
964	рац	11082	0.026281
965	сад	11075	0.026264
966	тиг	11046	0.026195
967	йтт	11037	0.026174
968	еме	11035	0.026169
969	сен	11031	0.026160
970	ынт	11014	0.026120
971	тей	10989	0.026060
972	элд	10982	0.026044
973	ырт	10980	0.026039
974	илү	10968	0.026011
975	иру	10936	0.025935
976	көч	10892	0.025830
977	үйү	10875	0.025790
978	рка	10871	0.025780
979	екч	10863	0.025762
980	үчө	10845	0.025719
981	зга	10828	0.025679
982	эге	10822	0.025664
983	уму	10809	0.025633
984	гул	10753	0.025501
985	роо	10748	0.025489
986	ктя	10741	0.025472
987	мэр	10737	0.025463
988	рем	10714	0.025408
989	кес	10709	0.025396
990	мле	10660	0.025280
991	три	10648	0.025252
992	амл	10618	0.025180
993	тиш	10617	0.025178
994	лчу	10591	0.025116
995	даш	10564	0.025052
996	асм	10561	0.025045
997	анс	10553	0.025026
998	түл	10529	0.024969
999	дет	10527	0.024965
1000	үнч	10497	0.024894
1001	дек	10466	0.024820
1002	эне	10445	0.024770
1003	млн	10416	0.024701
1004	сул	10390	0.024640
1005	уло	10390	0.024640
1006	аас	10382	0.024621
1007	аши	10360	0.024569
1008	кыт	10358	0.024564
1009	өзд	10319	0.024471
1010	узд	10306	0.024441
1011	мад	10298	0.024422
1012	дөө	10297	0.024419
1013	иро	10294	0.024412
1014	чын	10293	0.024410
1015	ван	10286	0.024393
1016	кке	10286	0.024393
1017	өрг	10245	0.024296
1018	үмк	10236	0.024275
1019	маш	10232	0.024265
1020	рло	10219	0.024234
1021	сык	10209	0.024211
1022	мкү	10191	0.024168
1023	мүм	10165	0.024106
1024	шкө	10163	0.024101
1025	анб	10162	0.024099
1026	гыл	10140	0.024047
1027	рел	10138	0.024042
1028	кез	10128	0.024018
1029	гүз	10125	0.024011
1030	ажа	10117	0.023992
1031	гол	10081	0.023907
1032	лүм	10077	0.023898
1033	инт	10076	0.023895
1034	фон	10071	0.023883
1035	урм	10069	0.023879
1036	ерт	10012	0.023743
1037	атр	10009	0.023736
1038	тит	10007	0.023732
